Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating,defensive_Shots pg,defensive_Tackles pg,defensive_Interceptions pg,defensive_Fouls pg,defensive_Offsides pg,defensive_Rating,offensive_Shots pg,offensive_Shots OT pg,offensive_Dribbles pg,offensive_Fouled pg,offensive_Rating,xG_for_xG,xG_for_Goals*,xG_for_xGDiff,xG_for_Shots,xG_for_xG/Shots,xG_for_Rating,xG_against_xG,xG_against_Goals*,xG_against_xGDiff,xG_against_Shots,xG_against_xG/Shots,xG_against_Rating
Arsenal,30,13.1,340,55.9,82.8,18.2,6.76,9.4,16.4,6.7,10.6,1.1,6.76,13.1,4.8,6.9,10.0,6.76,35.62,30,-5.62,248,0.14,6.76,19.27,16,-3.27,178,0.11,6.76
Aston Villa,24,11.7,330,53.9,85.4,12.5,6.52,14.5,16.2,6.4,9.9,0.9,6.52,11.7,4.1,6.5,12.2,6.52,26.15,22,-4.15,222,0.12,6.52,32.53,26,-6.53,275,0.12,6.52
Bournemouth,29,13.1,472,47.8,79.1,16.8,6.63,16.0,19.4,10.1,12.5,1.8,6.63,13.1,4.8,7.9,10.2,6.63,33.33,29,-4.33,249,0.13,6.63,42.03,33,-9.03,304,0.14,6.63
Brentford,22,9.3,411,47.8,79.2,19.6,6.58,14.2,15.2,8.2,10.9,1.7,6.58,9.3,3.6,6.5,8.4,6.58,27.56,22,-5.56,177,0.16,6.58,32.38,28,-4.38,269,0.12,6.58
Brighton,22,12.3,520,53.0,83.4,14.9,6.56,13.4,17.3,9.9,12.5,1.6,6.56,12.3,4.3,6.8,9.1,6.56,29.17,22,-7.17,233,0.13,6.56,30.34,23,-7.34,255,0.12,6.56
Burnley,20,7.8,402,41.3,78.9,15.2,6.32,17.2,17.5,8.6,10.8,1.7,6.32,7.8,2.9,3.6,9.4,6.32,15.72,19,3.28,149,0.11,6.32,41.4,42,0.6,326,0.13,6.32
Chelsea,32,11.6,485,56.4,86.5,13.6,6.65,11.7,15.6,10.3,11.3,1.6,6.65,11.6,4.5,7.3,11.5,6.65,34.46,31,-3.46,221,0.16,6.65,28.15,26,-2.15,223,0.13,6.65
Crystal Palace,22,9.9,441,43.5,78.5,17.9,6.62,12.7,20.3,8.8,10.5,1.9,6.62,9.9,3.5,4.2,9.0,6.62,26.75,22,-4.75,188,0.14,6.62,29.62,27,-2.62,242,0.12,6.62
Everton,21,10.0,371,40.8,77.8,22.3,6.67,16.6,18.0,8.5,11.2,1.5,6.67,10.0,3.2,6.5,10.5,6.67,24.08,20,-4.08,190,0.13,6.67,34.32,22,-12.32,316,0.11,6.67
Fulham,17,11.3,390,50.7,83.2,14.1,6.49,13.2,18.8,9.1,11.1,1.6,6.49,11.3,3.4,5.8,9.3,6.49,22.66,17,-5.66,215,0.11,6.49,34.6,31,-3.6,250,0.14,6.49
Leeds,20,10.8,311,44.0,79.1,19.4,6.54,14.1,18.2,8.4,10.8,1.5,6.54,10.8,3.6,5.9,10.4,6.54,27.22,19,-8.22,206,0.13,6.54,35.06,34,-1.06,267,0.13,6.54
Liverpool,29,13.8,350,59.8,86.1,14.3,6.6,11.9,11.7,7.2,10.3,1.8,6.6,13.8,4.1,7.1,10.4,6.6,32.37,29,-3.37,262,0.12,6.6,30.26,33,2.74,226,0.13,6.6
Manchester City,32,14.9,380,61.1,88.7,13.6,6.84,10.5,14.9,8.1,9.5,1.4,6.84,14.9,4.7,11.1,11.2,6.84,34.41,31,-3.41,283,0.12,6.84,26.96,21,-5.96,200,0.13,6.84
Manchester United,30,13.5,301,52.3,82.1,16.7,6.68,12.9,17.2,8.1,10.1,1.1,6.68,13.5,4.5,5.9,10.8,6.68,30.95,28,-2.95,256,0.12,6.68,30.13,24,-6.13,245,0.12,6.68
Newcastle,17,11.6,341,53.4,84.3,16.6,6.54,12.8,13.8,7.8,9.5,1.2,6.54,11.6,3.7,6.1,10.5,6.54,20.8,17,-3.8,220,0.09,6.54,27.61,23,-4.61,243,0.11,6.54
Nottingham Forest,28,10.1,360,44.5,81.3,14.3,6.6,14.6,16.7,8.4,11.1,1.7,6.6,10.1,4.2,6.4,11.9,6.6,21.83,27,5.17,191,0.11,6.6,35.63,26,-9.63,277,0.13,6.6
Sunderland,17,8.8,432,43.7,78.9,17.3,6.51,16.6,16.2,7.4,11.1,1.8,6.51,8.8,3.2,4.6,10.4,6.51,20.14,17,-3.14,167,0.12,6.51,33.65,27,-6.65,315,0.11,6.51
Tottenham,26,10.3,461,49.1,81.5,13.3,6.64,12.9,20.3,8.6,11.7,1.4,6.64,10.3,3.8,9.8,9.5,6.64,21.2,25,3.8,195,0.11,6.64,28.07,26,-2.07,246,0.11,6.64
West Ham,19,10.2,371,43.2,79.1,15.7,6.58,16.2,16.5,10.3,11.0,1.7,6.58,10.2,3.6,7.8,10.5,6.58,22.32,19,-3.32,194,0.12,6.58,36.36,33,-3.36,307,0.12,6.58
Wolves,8,9.3,463,41.7,79.3,15.7,6.39,15.6,17.4,8.8,13.5,1.3,6.39,9.3,2.9,6.4,10.6,6.39,16.82,8,-8.82,177,0.1,6.39,35.32,30,-5.32,296,0.12,6.39
