Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating,defensive_Shots pg,defensive_Tackles pg,defensive_Interceptions pg,defensive_Fouls pg,defensive_Offsides pg,defensive_Rating,offensive_Shots pg,offensive_Shots OT pg,offensive_Dribbles pg,offensive_Fouled pg,offensive_Rating,xG_for_xG,xG_for_Goals*,xG_for_xGDiff,xG_for_Shots,xG_for_xG/Shots,xG_for_Rating,xG_against_xG,xG_against_Goals*,xG_against_xGDiff,xG_against_Shots,xG_against_xG/Shots,xG_against_Rating
Arsenal,71,14.6,510,56.3,84.2,15.9,6.79,8.2,15.8,7.1,10.3,1.6,6.79,14.6,4.9,7.2,10.8,6.79,74.8,67,-7.8,553,0.14,6.79,34.11,26,-8.11,310,0.11,6.79
Aston Villa,56,12.7,581,53.5,85.3,12.1,6.58,12.9,15.4,6.3,10.0,1.1,6.58,12.7,4.5,6.3,12.4,6.58,54.77,53,-1.77,483,0.11,6.58,57.91,48,-9.91,490,0.12,6.58
Bournemouth,58,13.8,882,50.1,80.1,16.6,6.67,12.6,17.2,9.6,12.0,1.9,6.67,13.8,4.7,7.8,10.1,6.67,64.24,57,-7.24,524,0.12,6.67,58.65,51,-7.65,480,0.12,6.67
Brentford,55,10.7,691,47.5,79.2,19.4,6.66,13.3,14.6,8.7,10.3,1.5,6.66,10.7,3.9,6.5,8.9,6.66,67.83,53,-14.83,405,0.17,6.66,59.47,49,-10.47,505,0.12,6.66
Brighton,52,13.0,860,53.9,83.9,14.8,6.61,11.6,17.8,8.5,11.9,1.7,6.61,13.0,4.6,7.0,9.8,6.61,59.82,51,-8.82,495,0.12,6.61,54.18,42,-12.18,442,0.12,6.61
Burnley,38,9.3,643,42.4,79.1,15.1,6.44,16.7,16.8,9.0,10.4,1.5,6.44,9.3,3.1,5.1,8.8,6.44,36.86,35,-1.86,355,0.1,6.44,80.59,71,-9.59,636,0.13,6.44
Chelsea,58,13.4,908,57.7,87.2,13.3,6.64,10.9,15.6,9.8,11.1,1.5,6.64,13.4,4.4,7.2,11.8,6.64,72.12,57,-15.12,509,0.14,6.64,56.06,51,-5.06,415,0.14,6.64
Crystal Palace,41,11.6,742,45.5,78.2,19.3,6.62,11.7,18.6,8.3,10.5,1.9,6.62,11.6,3.7,4.1,9.4,6.62,62.54,40,-22.54,442,0.14,6.62,59.02,49,-10.02,445,0.13,6.62
Everton,47,11.1,724,43.5,79.7,22.0,6.68,14.0,18.5,8.2,10.8,1.4,6.68,11.1,3.7,6.6,10.6,6.68,52.3,45,-7.3,422,0.12,6.68,62.13,49,-13.13,532,0.12,6.68
Fulham,47,12.7,751,51.7,83.9,14.5,6.58,11.8,17.1,8.6,10.9,1.7,6.58,12.7,3.7,6.1,9.5,6.58,50.96,43,-7.96,484,0.11,6.58,59.67,48,-11.67,448,0.13,6.58
Leeds,49,12.6,621,45.6,79.3,18.9,6.6,12.6,17.4,8.9,10.5,1.6,6.6,12.6,4.0,5.6,10.9,6.6,60.93,48,-12.93,478,0.13,6.6,59.25,55,-4.25,477,0.12,6.6
Liverpool,63,15.5,571,59.3,85.7,15.3,6.7,11.4,13.0,6.9,10.1,2.0,6.7,15.5,4.6,8.0,10.2,6.7,67.68,61,-6.68,589,0.11,6.7,52.88,53,0.12,435,0.12,6.7
Manchester City,77,15.6,670,60.7,88.5,12.9,6.89,9.7,14.4,7.9,9.7,1.2,6.89,15.6,5.4,10.8,10.9,6.89,77.58,74,-3.58,594,0.13,6.89,49.02,35,-14.02,369,0.13,6.89
Manchester United,69,15.7,623,51.6,82.9,16.3,6.75,11.6,18.2,8.6,10.3,1.4,6.75,15.7,5.7,6.4,10.4,6.75,71.75,66,-5.75,596,0.12,6.75,53.94,48,-5.94,441,0.12,6.75
Newcastle,53,12.9,633,52.7,83.2,17.7,6.61,12.4,14.5,7.3,10.2,1.3,6.61,12.9,4.6,6.8,11.6,6.61,59.72,53,-6.72,492,0.12,6.61,58.08,53,-5.08,470,0.12,6.61
Nottingham Forest,48,12.5,601,46.8,82.1,14.3,6.61,13.3,16.9,7.9,10.7,1.6,6.61,12.5,4.1,7.3,11.1,6.61,50.98,47,-3.98,476,0.11,6.61,63.79,48,-15.79,506,0.13,6.61
Sunderland,42,10.4,823,44.8,79.3,17.4,6.58,14.2,15.4,7.9,10.7,1.4,6.58,10.4,3.4,5.4,10.8,6.58,43.73,38,-5.73,396,0.11,6.58,59.25,46,-13.25,540,0.11,6.58
Tottenham,48,11.5,994,50.2,81.6,15.2,6.58,12.3,19.6,8.4,12.2,1.5,6.58,11.5,3.8,9.5,9.9,6.58,46.81,47,0.19,436,0.11,6.58,56.16,57,0.84,467,0.12,6.58
West Ham,46,10.6,683,42.3,78.8,15.0,6.59,14.9,17.6,9.1,11.1,1.7,6.59,10.6,3.7,6.9,10.1,6.59,51.99,44,-7.99,404,0.13,6.59,67.54,62,-5.54,566,0.12,6.59
Wolves,27,9.7,773,42.6,79.5,15.0,6.45,13.9,19.1,8.5,13.0,1.4,6.45,9.7,3.2,6.8,10.6,6.45,39.85,26,-13.85,370,0.11,6.45,65.51,64,-1.51,529,0.12,6.45
